7cc4a000a00000ca	7cc4a000a00000ca202012181642	b	0	A	{}	LSBB_1	2020-12-18	0.802929	19.8082	173.7	0.632	16		64				-0.0594322		29.1095	89.6439	
7cc4a000a00000ca	7cc4a000a00000ca202012181642	b	1	B	{60}	LSBB_1	2020-12-18	0.812612	45.475	173.2	0.766	13		63				-0.0521774		32.7401	82.1106	
809ba000a00000b8	809ba000a00000b8202012211529	a	0	A	{}	LSBB_19	2020-12-21	0.769435	34.7202	168.4	0.618	17		64				-0.0665978		30.1329	94.6297	
809ba000a00000b8	809ba000a00000b8202012211529	a	1	A	{}	LSBB_19	2020-12-21	0.818734	38.3423	177.7	0.67	17		64				-0.0579328		31.187	98.4374	
84ada000a0000005	84ada000a0000005202012181633	b	0	A	{}	LSBB_2	2020-12-18	0.810185	25.9793	172.2	0.652	15		64				-0.0514347		30.1093	111.739	
84ada000a0000005	84ada000a0000005202012181633	b	1	C	{17,27}	LSBB_2	2020-12-18	0.8016	51.3688	185.4	1.093	17		64				-0.0749196		28.2517	108.522	
94a1a000a0000076	94a1a000a0000076202012211417	b	0	A	{}	LSBB_6	2020-12-21	0.805381	32.6034	172.8	0.552	14		64				-0.0537985		30.8826	119.604	
94a1a000a0000076	94a1a000a0000076202012211417	b	1	C	{36,63}	LSBB_6	2020-12-21	0.766873	16.2462	164.8	0.551	15		62				-0.0524405		30.5384	115.196	
9cbaa000a000009f	9cbaa000a000009f202012211441	b	0	B	{15}	LSBB_7	2020-12-21	0.797314	25.6692	174.8	0.596	13		63				-0.059701		29.2318	92.8833	
9cbaa000a000009f	9cbaa000a000009f202012211441	b	1	A	{}	LSBB_7	2020-12-21	0.765214	33.0351	166.9	0.939	13		64				-0.0592485		29.3368	89.7125	
M14	M14202009231328	c	0	D	{0,1,2,4,6,7,8,11,12,14,15,16,17,20,24,27,29,31,32,33,35,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63}	Mainz	2020-09-23	0.770513	0.974038	160.3	0.337	16	43	60	1.608	0.108	-0.121891	-0.0629752	20.2501	30.9016	88.3056	
